altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
482.8	1289.29	7.27673e-09	1.78457e-06	1.17112e-12	4.08688e+07		0.0042681	0.208977	78.3186	21.4656	0.00260779
482.7	1289.29	7.28669e-09	1.79629e-06	1.17282e-12	4.09248e+07		0.00426226	0.208741	78.305	21.4794	0.00261229
482.6	1289.29	7.29666e-09	1.80803e-06	1.17452e-12	4.09808e+07		0.00425643	0.208505	78.2913	21.4933	0.00261679
482.5	1289.29	7.30665e-09	1.81978e-06	1.17622e-12	4.1037e+07		0.00425061	0.208269	78.2777	21.5072	0.00262131
482.4	1289.28	7.31665e-09	1.83155e-06	1.17793e-12	4.10932e+07		0.00424479	0.208033	78.2641	21.521	0.00262583
482.3	1289.28	7.32666e-09	1.84334e-06	1.17963e-12	4.11495e+07		0.00423899	0.207798	78.2504	21.5349	0.00263035
482.2	1289.28	7.33669e-09	1.85515e-06	1.18135e-12	4.12059e+07		0.00423319	0.207563	78.2367	21.5488	0.00263489
482.1	1289.28	7.34674e-09	1.86697e-06	1.18306e-12	4.12624e+07		0.00422739	0.207328	78.2231	21.5627	0.00263943
482	1289.28	7.3568e-09	1.87881e-06	1.18478e-12	4.1319e+07		0.00422161	0.207094	78.2094	21.5767	0.00264398
481.9	1289.27	7.36688e-09	1.89066e-06	1.1865e-12	4.13756e+07		0.00421583	0.20686	78.1957	21.5906	0.00264854
481.8	1289.27	7.37697e-09	1.90254e-06	1.18822e-12	4.14324e+07		0.00421005	0.206625	78.182	21.6045	0.0026531
481.7	1289.27	7.38707e-09	1.91443e-06	1.18994e-12	4.14892e+07		0.00420429	0.206392	78.1683	21.6185	0.00265767
481.6	1289.27	7.39719e-09	1.92634e-06	1.19167e-12	4.15461e+07		0.00419853	0.206158	78.1545	21.6324	0.00266226
481.5	1289.27	7.40733e-09	1.93826e-06	1.1934e-12	4.16031e+07		0.00419278	0.205925	78.1408	21.6464	0.00266684
481.4	1289.26	7.41748e-09	1.95021e-06	1.19513e-12	4.16602e+07		0.00418704	0.205691	78.1271	21.6604	0.00267144
481.3	1289.26	7.42764e-09	1.96217e-06	1.19687e-12	4.17173e+07		0.0041813	0.205458	78.1133	21.6744	0.00267604
481.2	1289.26	7.43782e-09	1.97414e-06	1.19861e-12	4.17745e+07		0.00417557	0.205226	78.0996	21.6883	0.00268065
481.1	1289.26	7.44802e-09	1.98614e-06	1.20035e-12	4.18319e+07		0.00416985	0.204993	78.0858	21.7023	0.00268527
481	1289.26	7.45823e-09	1.99815e-06	1.20209e-12	4.18893e+07		0.00416413	0.204761	78.072	21.7164	0.0026899
480.9	1289.25	7.46845e-09	2.01018e-06	1.20384e-12	4.19468e+07		0.00415842	0.204529	78.0582	21.7304	0.00269453
480.8	1289.25	7.4787e-09	2.02223e-06	1.20559e-12	4.20044e+07		0.00415272	0.204297	78.0444	21.7444	0.00269917
480.7	1289.25	7.48895e-09	2.03429e-06	1.20734e-12	4.2062e+07		0.00414703	0.204065	78.0307	21.7584	0.00270382
480.6	1289.25	7.49922e-09	2.04637e-06	1.2091e-12	4.21198e+07		0.00414134	0.203834	78.0168	21.7725	0.00270848
480.5	1289.25	7.50951e-09	2.05847e-06	1.21086e-12	4.21776e+07		0.00413566	0.203603	78.003	21.7865	0.00271315
480.4	1289.24	7.51981e-09	2.07059e-06	1.21262e-12	4.22356e+07		0.00412998	0.203372	77.9892	21.8006	0.00271782
